Player,Club,Pos,Price,Pts
J Hernandez,Man Utd,STR,3,51
J Jaaskelainen,Bolton,GK,1.5,20
J Jenas,Tottenham,MID,3,6
J Koumas,Wigan,MID,1.5,0
J Lescott,Man City,DEF,4.5,23
J Mascherano,Liverpool,MID,4.5,3
J Mattock,West Brom,DEF,1,0
J McCarthy,Wigan,MID,2,31
J McFadden,Birmingham,MID,2,16
J Mensah,Sunderland,DEF,1.5,9
J Milner,Man City,MID,5.5,47
J Obi Mikel,Chelsea,MID,3,43
J O'Hara,Tottenham,MID,3,0
J Olsson,West Brom,DEF,1.5,19
J O'Shea,Man Utd,DEF,3.5,24
J Pantsil,Fulham,DEF,2,8
J Park,Man Utd,MID,4,62
J Pennant,Stoke,MID,2,18
J Reina,Liverpool,GK,5.5,70
J Roberts,Blackburn,STR,2,18
J Rodwell,Everton,MID,2,18
J Samuel,Bolton,DEF,2,0
J Scotland,Wigan,STR,1,0
J Spector,West Ham,DEF,1.5,24
J Stanislas,West Ham,MID,1.5,4
J Terry,Chelsea,DEF,7.5,84
J Thomas,West Brom,MID,1,27
J Tomkins,West Ham,DEF,1.5,14
J Van Damme,Wolves,DEF,1.5,5
J Walters,Stoke,STR,1.5,11
J Wilshere,Arsenal,MID,2,50
J Woodgate,Tottenham,DEF,3.5,0
J Yobo,Everton,DEF,3,0
K Andrews,Blackburn,MID,1,0
K Davies,Bolton,STR,4,61
K Doyle,Wolves,STR,2.5,57
K Dyer,West Ham,MID,2,10
K Fahey,Birmingham,MID,2,21
K Foley,Wolves,MID,2,32
K Gibbs,Arsenal,DEF,3,21
K Henry,Wolves,MID,1.5,18
K Jones,Stoke,STR,3.5,77
K Nolan,Newcastle,MID,2.5,64
K Phillips,Birmingham,STR,1.5,5
K Richardson,Sunderland,MID,2,14
K Southern,Blackpool,MID,1,11
K Toure,Man City,DEF,4.5,75
L Baines,Everton,DEF,4,47
L Boa Morte,West Ham,MID,1.5,8
L Bowyer,Birmingham,MID,2.5,24
L Cattermole,Sunderland,MID,2,35
L Fabianski,Arsenal,GK,4.5,28
L Jacobsen,West Ham,DEF,2,6
L King,Tottenham,DEF,3,15
L Koscielny,Arsenal,DEF,4.5,18
L Lawrence,Stoke,MID,2,0
L Modric,Tottenham,MID,5,29
L Moore,West Brom,STR,1,3
L Osman,Everton,MID,3,20
L Ridgewell,Birmingham,DEF,2,55
L Saha,Everton,STR,5,8
L Valencia,Man Utd,MID,4.5,6
L Varney,Blackpool,STR,1,37
L Young,Aston Villa,DEF,3.5,15
Lucas,Liverpool,MID,3,42
M Albrighton,Aston Villa,MID,1.5,38
M Almunia,Arsenal,GK,5,16
M Alonso,Bolton,DEF,2,8
M Arteta,Everton,MID,5,38
M Balotelli,Man City,STR,3.5,39
M Boselli,Wigan,STR,1.5,8
M Carrick,Man Utd,MID,4.5,25
M Cech,West Brom,DEF,1,7
M Chamakh,Arsenal,STR,5,85
M Da Costa,West Ham,DEF,1.5,26
M Dawson,Tottenham,DEF,4,10
M Dembele,Fulham,STR,2,19
M Diame,Wigan,MID,1.5,18
M Diouf,Blackburn,STR,1.5,41
M Essien,Chelsea,MID,5,82
M Etherington,Stoke,MID,3,64
M Fellaini,Everton,MID,3.5,10
M Figueroa,Wigan,DEF,1.5,16
M Fortune,West Brom,STR,1,8
M Gamst Pedersen,Blackburn,MID,3,63
M Gilks,Blackpool,GK,1,7
M Hahnemann,Wolves,GK,2,0
M Harewood,Blackpool,STR,1.5,32
M Jarvis,Wolves,MID,2.5,54
M Jovanovic,Liverpool,STR,4.5,22
M Kightly,Wolves,MID,1.5,0
